Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
455,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,10,0.82,10,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
456,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,1,30.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
457,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,25.0,17,0.68,15,0,0,2,0,1,0.04,1,0,0,0,0,0,Matches
458,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,1.0,6,6.00,6,0,0,0,0,1,1.00,1,0,0,0,0,0,Matches
459,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
460,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,29.9,84,2.81,75,2,1,2,4,9,0.30,9,0,0,0,0,0,Matches
461,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,9.6,9,0.93,7,0,2,0,0,1,0.10,1,0,0,0,0,0,Matches
462,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,5,0.28,4,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
463,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,14,0.98,14,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
464,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.1,28,1.74,19,3,2,2,2,2,0.12,2,0,0,0,0,0,Matches
465,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,7,2.16,6,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
466,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,2,1.02,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
467,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,12.4,18,1.45,15,0,0,2,1,2,0.16,2,0,0,0,0,0,Matches
468,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,23,1996,27.6,92,3.34,63,0,17,0,12,14,0.51,11,0,1,0,2,0,Matches
469,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
470,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,19.7,43,2.19,28,2,5,4,4,2,0.10,1,0,0,0,1,0,Matches
