,squad,minutes_90s,passes_completed,through_balls,position,player,passes,passes_pressure
187,Liverpool,24.9,1582,14,MF,Jordan Henderson,1879,275
188,Burnley,21.5,420,0,MF,Jeff Hendrick,575,135
189,Crystal Palace,3.0,44,0,GK,Wayne Hennessey,103,4
190,West Ham,1.2,19,0,FW,Javier Hernández,22,3
191,Norwich City,12.6,207,1,"FW,MF",Onel Hernández,284,73
192,Tottenham,24.7,637,6,"FW,MF",Son Heung-min,795,189
193,Arsenal,3.5,164,0,DF,Rob Holding,185,23
194,Watford,11.4,431,0,DF,José Holebas,608,85
195,Everton,22.7,840,1,DF,Mason Holgate,975,126
196,West Ham,0.4,11,0,MF,Nathan Holland,14,4
197,Aston Villa,14.4,467,2,MF,Conor Hourihane,607,84
198,Chelsea,9.0,362,1,FW,Callum Hudson-Odoi,449,133
199,Watford,22.1,580,1,"MF,FW",Will Hughes,797,151
200,Southampton,29.4,1316,2,MF,Pierre Højbjerg,1690,356
201,Bournemouth,0.6,17,0,DF,Jordon Ibe,22,4
202,Norwich City,2.2,28,0,"FW,MF",Adam Idah,37,12
203,Manchester Utd,1.0,18,0,FW,Odion Ighalo,20,4
204,Leicester City,9.7,179,7,"FW,MF",Kelechi Iheanacho,228,72
205,Southampton,28.2,385,2,FW,Danny Ings,601,156
206,Everton,17.1,434,5,"MF,FW",Alex Iwobi,577,109
207,Sheffield Utd,2.7,59,0,DF,Phil Jagielka,74,11
208,Brighton,3.4,84,0,"FW,MF",Alireza Jahanbakhsh,139,21
209,Manchester Utd,25.4,586,3,FW,Daniel James,803,183
210,Leicester City,0.1,6,0,MF,Matty James,6,2
211,Chelsea,14.7,956,2,DF,Reece James,1137,182
212,Watford,6.7,257,0,DF,Daryl Janmaat,341,64
213,Manchester City,19.7,463,1,FW,Gabriel Jesus,529,130
214,Wolves,33.0,692,7,FW,Raúl Jiménez,937,284
215,Newcastle Utd,28.9,617,3,FW,Joelinton,773,305
216,Liverpool,1.1,99,0,MF,Curtis Jones,110,17
217,Manchester Utd,1.5,79,0,DF,Phil Jones,89,22
218,Chelsea,23.5,1731,4,MF,Jorginho,1974,399
219,Aston Villa,3.7,73,3,"FW,MF",Jota,98,24
220,Wolves,23.4,626,0,"FW,MF",Diogo Jota,794,194
221,Leicester City,8.2,491,1,DF,James Justin,609,84
222,Watford,22.0,423,0,DF,Christian Kabasele,557,95
223,Tottenham,25.8,362,5,FW,Harry Kane,547,170
224,Chelsea,19.2,973,0,MF,N'Golo Kanté,1139,241
225,Everton,8.5,95,1,FW,Moise Kean,130,33
226,Everton,25.4,961,2,DF,Michael Keane,1156,179
227,Liverpool,7.1,479,5,MF,Naby Keïta,537,88
228,Bournemouth,4.1,131,0,DF,Lloyd Kelly,159,20
229,Crystal Palace,17.2,493,0,DF,Martin Kelly,669,124
230,Wolves,2.1,72,0,DF,Max Kilman,90,14
231,Bournemouth,19.8,317,2,"FW,MF",Joshua King,437,129
232,Norwich City,5.0,280,0,DF,Timm Klose,326,25
233,Aston Villa,1.3,19,0,"FW,MF",Jonathan Kodjia,30,7
234,Arsenal,17.5,781,0,DF,Sead Kolašinac,927,145
235,Aston Villa,19.7,607,0,DF,Ezri Konsa,769,114
236,Crystal Palace,26.3,594,0,MF,Cheikhou Kouyaté,788,198
237,Chelsea,20.1,1508,5,MF,Mateo Kovačić,1677,316
238,Newcastle Utd,9.3,242,0,DF,Emil Krafth,343,42
